ShuttleLocation,ShuttleType,EngineType,EngineVendor,Engines,PassengerCapacity,CancellationPolicy,Crew,DCheckComplete,MoonClearanceComplete,Price,CompanyId,ShuttleId,ReviewScoresRating,ReviewScoresComfort,ReviewScoresAmenities,ReviewScoresTrip,ReviewScoresCrew,ReviewScoresLocation,ReviewScoresPrice,NumberOfReviews,ReviewsPerMonth,Id,CompanyRating,CompanyLocation,TotalFleetCount,IataApproved
Costa Rica,Type V2,Quantum,ThetaBase Services,2,4,flexible,3,False,False,1377,15963,57167,97,10,10,10,10,9,10,24,0.58,15963,1,Svalbard & Jan Mayen Islands,1,False
Marshall Islands,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1169,37909,48141,98,10,10,10,10,10,10,33,0.89,37909,1,Russian Federation,2,True
Gambia,Type V2,Plasma,ThetaBase Services,3,8,strict,3,True,False,2040,26052,11376,91,9,9,10,10,9,9,71,1.18,26052,0.9,Gambia,3,True
Barbados,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1585,35841,56202,78,9,7,10,10,10,8,12,0.2,35841,1,Saint Helena,4,False
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,4,moderate,1,False,False,2560,9797,73229,98,10,10,10,10,9,9,80,1.33,9797,1,Uzbekistan,1,False
Malta,Type F5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1260,40757,8663,96,10,10,10,10,9,10,46,0.79,40757,1,United Kingdom,1,True
Malta,Type V5,Quantum,ThetaBase Services,1,4,strict,3,True,False,2495,35593,2748,95,10,9,10,10,10,10,63,1.06,35593,1,Marshall Islands,3,False
Nicaragua,Type O3,Quantum,ThetaBase Services,1,2,strict,0,False,False,1975,41755,47795,97,10,10,10,10,10,10,101,1.66,41755,1,Isle of Man,2,False
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1598,38218,71147,96,10,10,10,10,10,9,141,2.35,38218,1,Malawi,1,True
Kiribati,Type V2,Plasma,ThetaBase Services,3,6,moderate,3,False,False,2495,1020,32821,97,10,9,10,10,10,10,77,1.4,1020,1,United Kingdom,7,True
Malta,Type G0,Plasma,ThetaBase Services,1,3,strict,2,False,False,2690,30283,65561,74,7,8,9,8,9,8,17,0.28,30283,1,Brazil,15,False
Malta,Type V5,Plasma,ThetaBase Services,1,4,strict,2,False,False,3080,30283,70128,60,8,8,8,7,7,7,5,0.09,30283,1,Brazil,15,False
Micronesia,Type G0,Plasma,ThetaBase Services,1,5,moderate,3,False,False,3145,30283,25145,80,8,9,8,8,9,8,23,0.38,30283,1,Brazil,15,False
Malta,Type V5,Plasma,ThetaBase Services,1,4,moderate,1,False,False,2040,37215,39917,82,8,8,9,10,9,8,22,0.39,37215,1,Indonesia,4,True
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1,2,moderate,1,False,False,2040,45905,34534,80,10,10,10,9,8,9,3,0.05,45905,1,Sao Tome and Principe,3,True
Micronesia,Type V5,Plasma,ThetaBase Services,1,3,flexible,1,False,False,2040,49030,15449,100,10,10,10,9,9,9,9,0.16,49030,1,Kenya,2,False
United Kingdom,Type V7,Quantum,ThetaBase Services,1,1,strict,2,False,False,1520,4906,13665,96,10,9,10,10,10,9,306,5.03,4906,1,Senegal,2,True
Niue,Type F5,Quantum,ThetaBase Services,1,2,moderate,1,True,False,2105,1877,33109,98,10,10,10,10,10,10,76,1.27,1877,1,Guinea,1,False
Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1585,34018,14569,94,10,10,10,10,10,10,14,0.34,34018,1,French Guiana,1,False
Rwanda,Type V5,Plasma,ThetaBase Services,2,4,strict,2,True,False,2170,26052,49276,94,10,10,10,10,10,10,99,1.76,26052,0.9,Gambia,3,True
Gambia,Type V2,Quantum,ThetaBase Services,3,8,moderate,3,False,False,1520,26052,20559,88,9,9,9,10,8,9,27,0.44,26052,0.9,Gambia,3,True
Niue,Type V7,Plasma,ThetaBase Services,1,2,strict,1,False,False,2560,39023,68600,99,10,10,10,10,10,10,22,0.58,39023,1,Niue,1,True
Niue,Type O3,Quantum,ThetaBase Services,1,2,moderate,1,False,False,2300,6407,32678,100,10,10,10,10,10,10,1,0.02,6407,0,Niue,3,False
Barbados,Type V2,Plasma,ThetaBase Services,4,10,strict,6,True,False,4757,39952,32145,81,8,8,9,9,9,8,56,0.92,39952,1,Tonga,21,False
Rwanda,Type F5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1455,34653,6244,91,9,10,10,10,10,10,22,0.87,34653,1,Turkmenistan,1,True
Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,False,False,1520,40678,46949,93,9,9,10,10,10,9,193,3.27,40678,1,Ecuador,3,True
Micronesia,Type V5,Plasma,"Banks, Wood and Phillips",1,4,strict,1,True,False,2105,30435,59119,76,8,8,8,8,9,8,67,1.11,30435,0.99,Cape Verde,41,False
Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1910,14240,53582,100,10,10,10,10,9,10,3,0.15,14240,1,Chile,3,True
Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,strict,1,True,False,2560,30435,51765,86,9,9,10,9,10,9,60,1.08,30435,0.99,Cape Verde,41,False
Micronesia,Type V5,Plasma,ThetaBase Services,1,3,moderate,1,False,False,2430,3362,67365,95,10,9,10,10,9,9,32,0.53,3362,0.4,Rwanda,1,True
Estonia,Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1195,22316,61333,93,10,9,9,10,9,9,45,0.78,22316,1,Zimbabwe,1,True
Malta,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2157,44459,53436,97,10,9,10,10,10,9,41,0.69,44459,0.89,Kenya,1,True
Barbados,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1780,14700,71794,89,9,8,9,10,10,9,23,0.41,14700,1,Montserrat,3,False
Gambia,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1130,23009,41459,95,10,10,10,10,8,9,96,1.62,23009,1,Gambia,1,True
Barbados,Type V2,Quantum,"Banks, Wood and Phillips",1,3,strict,2,False,False,1650,25728,7419,98,10,10,10,10,9,10,99,1.72,25728,1,Bouvet Island (Bouvetoya),3,False
Rwanda,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1572,11332,3530,97,10,10,10,10,9,10,16,0.27,11332,1,Croatia,2,True
Costa Rica,Type V5,Plasma,ThetaBase Services,1,2,moderate,1,False,False,1650,32801,40579,93,9,10,10,10,9,9,4,0.08,32801,0.63,Somalia,1,False
Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1338,9307,39375,97,10,9,10,10,9,10,60,1.03,9307,1,Puerto Rico,1,False
Rwanda,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2105,47848,4238,99,10,10,10,10,10,10,26,0.47,47848,0.3,Uzbekistan,1,True
Sao Tome and Principe,Type V2,Plasma,ThetaBase Services,3,7,moderate,4,False,False,4120,29564,70971,100,10,10,10,10,10,10,2,0.06,29564,1,Turkmenistan,1,True
Micronesia,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2950,37662,52561,94,10,9,10,10,10,10,69,1.18,37662,1,Kenya,2,True
Micronesia,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1767,44145,13030,97,10,10,10,10,10,10,20,0.34,44145,1,Rwanda,4,True
Micronesia,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2560,9264,30281,95,10,9,10,10,10,9,57,0.96,9264,0.88,Kenya,2,True
Malta,Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1910,4517,26984,97,10,10,10,10,9,9,116,2.04,4517,1,El Salvador,3,True
United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,4705,4267,14885,95,10,9,10,10,10,9,27,0.48,4267,1,Senegal,22,True
Wallis and Futuna,Type V5,Plasma,ThetaBase Services,0,2,moderate,2,True,False,1715,20482,4728,97,10,10,10,10,10,10,23,0.4,20482,1,Malta,1,True
Nicaragua,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,3470,41755,61219,98,10,10,10,10,10,10,9,0.2,41755,1,Isle of Man,2,False
Micronesia,Type V2,Quantum,ThetaBase Services,1,2,flexible,2,False,False,2430,18566,10745,100,10,10,10,10,10,10,1,0.56,18566,0.9,Nicaragua,2,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1377,15023,42156,99,10,10,10,10,9,10,81,1.49,15023,1,Tanzania,1,True
Anguilla,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1858,11380,55466,91,9,10,10,10,9,9,18,0.45,11380,1,United Kingdom,1,True
United Kingdom,Type V5,Plasma,ThetaBase Services,2,3,strict,2,False,False,2625,10479,33739,100,10,10,10,10,10,10,1,0.06,10479,1,Palestinian Territory,3,True
Rwanda,Type V5,Quantum,ThetaBase Services,1,3,strict,0,False,False,1455,24728,8232,81,9,9,9,9,9,9,22,0.5,24728,1,Turkmenistan,3,True
Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,3,flexible,3,False,False,1845,12006,3522,87,8,9,10,9,10,9,18,0.31,12006,1,Uruguay,5,False
Kiribati,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1520,14479,54805,95,10,10,10,10,9,9,71,1.29,14479,1,United Kingdom,1,True
Malta,Type F5,Plasma,ThetaBase Services,5,8,strict,8,False,False,4120,32065,22697,100,10,10,10,10,9,9,12,0.21,32065,1,Niue,1,False
Rwanda,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1780,44477,76011,100,10,10,10,10,10,10,13,1.47,44477,0.9,Maldives,3,True
Malta,Type V2,Nuclear,ThetaBase Services,1,16,strict,16,False,False,1208,44194,13710,81,8,8,9,8,9,8,163,2.82,44194,1,Indonesia,5,True
Malta,Type V5,Quantum,ThetaBase Services,0,4,flexible,4,False,False,1091,20807,70087,84,9,8,9,9,8,8,97,1.69,20807,1,Mauritania,2,True
Kiribati,Type F5,Plasma,ThetaBase Services,4,9,strict,6,False,False,3457,12210,62112,92,10,9,10,10,9,9,107,1.91,12210,1,United Kingdom,2,False
Micronesia,Type V5,Plasma,ThetaBase Services,1,3,strict,1,False,False,2768,8058,57751,97,10,10,10,10,10,10,101,1.76,8058,0.9,Niger,2,True
Nicaragua,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1520,13977,39021,92,10,10,10,10,9,9,5,0.16,13977,0.9,Isle of Man,1,False
Rwanda,Type V5,Plasma,ThetaBase Services,0,3,moderate,2,True,False,1806,22324,29435,90,10,9,10,10,9,9,53,2.8,22324,1,Venezuela,6,True
Rwanda,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1455,38078,31816,99,10,9,10,10,9,9,16,0.28,38078,1,Uzbekistan,2,True
Sao Tome and Principe,Type O3,Quantum,ThetaBase Services,4,10,strict,10,False,False,4640,15160,44273,100,10,10,10,10,10,9,16,0.28,15160,1,Peru,5,True
Wallis and Futuna,Type V2,Quantum,ThetaBase Services,1,2,strict,1,True,False,1507,47548,66046,98,10,10,10,10,10,10,97,1.68,47548,1,Malta,1,True
Barbados,Type V5,Plasma,ThetaBase Services,2,6,strict,2,True,False,2807,39952,72070,72,8,7,8,8,10,7,40,0.7,39952,1,Tonga,21,False
Rwanda,Type V5,Quantum,ThetaBase Services,1,3,strict,0,False,False,1390,24728,75275,87,9,9,9,9,9,9,74,1.27,24728,1,Turkmenistan,3,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,strict,0,False,False,1650,15193,29979,100,10,10,10,10,10,10,2,0.07,15193,1,Tanzania,2,True
Niue,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1975,38401,15387,94,10,10,10,10,10,9,40,0.73,38401,1,Guinea,1,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2235,21263,29316,94,10,9,10,10,10,10,27,0.48,21263,1,Isle of Man,1,True
Sao Tome and Principe,Type V2,Quantum,ThetaBase Services,1,1,flexible,1,False,False,1325,12006,35312,91,10,9,10,10,10,9,45,0.8,12006,1,Uruguay,5,False
Malta,Type V2,Nuclear,ThetaBase Services,1,16,strict,16,False,False,1208,44194,5744,83,9,8,9,9,9,9,146,2.54,44194,1,Indonesia,5,True
Anguilla,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,False,False,1455,28436,41206,97,9,10,10,10,9,9,8,0.14,28436,1,Anguilla,1,True
Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,1,flexible,1,False,False,1247,12006,50104,91,10,9,10,10,10,10,72,1.24,12006,1,Uruguay,5,False
Malta,Type N0,Nuclear,ThetaBase Services,1,16,strict,16,False,False,1208,44194,5401,85,9,8,9,9,9,9,113,2,44194,1,Indonesia,5,True
Faroe Islands,Type O3,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1338,29070,65256,93,10,10,10,10,10,10,73,1.37,29070,1,Micronesia,1,False
Sao Tome and Principe,Type F5,Plasma,ThetaBase Services,6,12,strict,6,False,False,8670,38547,25243,94,9,10,9,9,9,10,11,0.21,38547,0,Angola,3,True
Rwanda,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1520,45783,30499,97,10,10,10,10,9,10,82,1.43,45783,1,Nauru,1,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,3,moderate,1,False,False,2105,29246,24623,96,10,10,10,10,9,9,38,0.68,29246,0.5,Malawi,1,True
Sao Tome and Principe,Type O3,Quantum,ThetaBase Services,1,2,strict,1,False,False,1715,15160,9456,93,9,10,10,10,9,9,3,0.06,15160,1,Peru,5,True
Sao Tome and Principe,Type O3,Quantum,ThetaBase Services,1,2,strict,1,False,False,1845,15160,18603,96,9,10,10,10,10,10,20,0.36,15160,1,Peru,5,True
Sao Tome and Principe,Type V2,Quantum,ThetaBase Services,1,3,strict,1,False,False,1845,15160,48167,100,10,10,10,10,10,10,10,0.18,15160,1,Peru,5,True
Niue,Type F5,Quantum,ThetaBase Services,1,3,moderate,2,False,False,1325,2667,26913,91,10,10,10,10,9,9,17,0.43,2667,1,Niue,3,False
Niue,Type V5,Plasma,ThetaBase Services,1,2,moderate,1,False,False,1975,28685,72490,92,10,9,10,10,9,9,85,1.52,28685,1,Guinea,1,True
Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1390,28731,57577,97,10,10,10,10,10,10,80,1.41,28731,1,Faroe Islands,1,True
Malta,Type V5,Plasma,ThetaBase Services,2,4,flexible,2,False,False,2690,4517,479,96,10,9,10,10,9,10,96,2,4517,1,El Salvador,3,True
Wallis and Futuna,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1156,19526,26038,92,10,9,9,10,9,9,19,0.63,19526,1,Malta,2,False
United Kingdom,Type V5,Quantum,ThetaBase Services,1,5,strict,3,False,False,1754,38831,63617,84,9,8,9,9,9,9,12,0.21,38831,0.65,Tanzania,8,True
Malta,Type F5,Quantum,ThetaBase Services,1,4,strict,2,False,False,1624,22321,56827,94,10,10,10,10,9,9,421,7.39,22321,1,United Kingdom,16,False
Barbados,Type V5,Plasma,ThetaBase Services,3,6,strict,3,True,False,2547,39952,35949,76,8,7,9,8,9,8,30,0.56,39952,1,Tonga,21,False
Malta,Type F5,Quantum,ThetaBase Services,1,4,strict,2,True,False,1624,22321,5855,94,10,10,10,10,9,9,335,5.88,22321,1,United Kingdom,16,False
Malta,Type F5,Quantum,ThetaBase Services,1,3,strict,2,False,False,1494,22321,26420,95,10,10,10,10,9,9,393,6.93,22321,1,United Kingdom,16,False
Malta,Type F5,Quantum,ThetaBase Services,1,3,strict,2,False,False,1494,22321,62277,93,9,9,10,10,9,9,383,6.74,22321,1,United Kingdom,16,False
Wallis and Futuna,Type V5,Quantum,MCW Global,1,1,strict,1,False,False,1143,19526,4626,85,10,9,10,9,9,9,4,0.08,19526,1,Malta,2,False
Malta,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,True,False,1637,21247,45471,96,10,10,9,10,9,8,5,0.44,21247,1,Guernsey,1,False
Rwanda,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,True,False,1273,37554,69910,98,10,10,10,10,9,10,14,0.27,37554,1,Nauru,1,True
Nicaragua,Type V5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1520,14120,69987,94,10,9,10,10,10,9,184,3.29,14120,1,Jersey,1,False
Bouvet Island (Bouvetoya),Type V2,Quantum,ThetaBase Services,1,1,moderate,1,True,False,1325,25637,53084,99,10,10,10,10,10,10,65,1.15,25637,1,French Guiana,3,True
Kiribati,Type Z6,Plasma,ThetaBase Services,3,5,flexible,4,False,False,4003,22625,21552,96,10,10,10,10,9,9,30,1.06,22625,1,Nicaragua,3,True
Bouvet Island (Bouvetoya),Type V5,Plasma,"Banks, Wood and Phillips",0,2,moderate,1,False,False,2157,20758,66067,95,10,9,10,10,10,9,137,2.41,20758,1,Uzbekistan,2,True
Malta,Type V5,Quantum,ThetaBase Services,1,1,strict,0,True,False,1507,3189,4800,98,10,10,10,10,10,10,180,4.23,3189,1,Marshall Islands,2,True
United Kingdom,Type V2,Plasma,ThetaBase Services,3,6,strict,6,False,False,2365,22513,31183,89,9,9,10,10,10,9,34,0.6,22513,0.9,Jersey,4,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1715,22175,50875,87,9,7,10,10,9,9,3,0.06,22175,0.5,Lebanon,1,True
United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,False,False,3470,37438,47184,99,10,10,10,10,9,10,31,0.56,37438,1,Andorra,4,True
Rwanda,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1585,13212,14944,91,9,10,10,10,9,9,7,0.13,13212,1,Zimbabwe,12,True
Gambia,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,False,False,1390,2076,36391,96,9,10,10,10,9,10,11,1.09,2076,1,New Zealand,2,False
Malta,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1624,11498,56813,98,10,10,10,10,9,10,218,4.03,11498,0.9,Niue,1,False
Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1585,44817,19069,97,10,10,10,10,10,9,89,5.15,44817,1,Chile,1,True
Switzerland,Type V5,Plasma,ThetaBase Services,2,6,strict,2,True,False,2430,33873,32931,100,10,10,10,10,10,10,3,0.08,33873,1,Turks and Caicos Islands,8,True
Gambia,Type V5,Plasma,ThetaBase Services,1,4,strict,2,False,False,2092,2368,58379,95,10,10,10,10,10,10,25,0.46,2368,0.78,France,1,True
Nicaragua,Type V7,Plasma,ThetaBase Services,3,6,strict,2,False,False,2690,33029,32491,88,10,9,9,10,9,9,16,0.3,33029,1,Isle of Man,3,False
Russian Federation,Type V5,Quantum,ThetaBase Services,1,2,strict,0,True,False,1325,44354,59223,89,9,8,9,9,9,9,133,2.36,44354,1,Russian Federation,1,True
Russian Federation,Type F5,Plasma,ThetaBase Services,4,9,strict,7,True,False,3990,43481,39692,97,10,9,10,10,9,10,28,0.53,43481,1,Russian Federation,4,True
Russian Federation,Type O3,Quantum,ThetaBase Services,0,2,strict,2,False,False,1585,43481,18644,99,10,10,10,10,10,10,40,0.75,43481,1,Russian Federation,4,True
Russian Federation,Type O3,Quantum,ThetaBase Services,1,2,strict,1,False,False,1585,43481,25953,98,10,10,10,10,10,10,38,0.71,43481,1,Russian Federation,4,True
Russian Federation,Type V5,Plasma,ThetaBase Services,2,3,moderate,3,False,False,2170,8866,13711,94,10,10,10,10,9,9,43,0.77,8866,0.9,Tonga,2,True
United Kingdom,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,1702,26878,74186,89,9,8,10,9,9,9,10,0.19,26878,0.8,Monaco,2,True
Barbados,Type V5,Quantum,ThetaBase Services,1,1,strict,1,True,False,1468,3294,27636,94,9,10,10,10,10,9,176,3.2,3294,1,Uganda,3,False
Uzbekistan,Type V2,Quantum,ThetaBase Services,1,2,strict,1,False,False,1208,11110,828,94,10,10,9,10,9,10,89,2.31,11110,0.88,Kiribati,3,True
Uzbekistan,Type V2,Quantum,ThetaBase Services,1,2,strict,1,False,False,1390,11110,71030,94,10,10,10,10,9,9,145,2.59,11110,0.88,Kiribati,3,True
Costa Rica,Type V5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1325,42280,22054,100,10,10,10,10,9,10,47,1.6,42280,1,Micronesia,1,True
Barbados,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1780,25948,35727,98,10,10,10,10,10,10,112,2.04,25948,1,Slovakia (Slovak Republic),1,True
Malta,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1741,37280,73407,96,10,10,10,10,10,10,140,2.59,37280,1,Indonesia,4,True
Barbados,Type V5,Plasma,ThetaBase Services,3,6,strict,3,True,False,2547,39952,66913,80,9,8,9,9,10,9,53,0.99,39952,1,Tonga,21,False
Nicaragua,Type V5,Plasma,ThetaBase Services,2,2,moderate,2,False,False,2300,35933,60679,100,9,10,10,10,10,10,3,0.07,35933,0.75,Isle of Man,1,True
El Salvador,Type F5,Quantum,ThetaBase Services,3,7,moderate,5,False,False,1650,25005,75223,98,10,10,10,10,10,10,185,3.51,25005,1,Papua New Guinea,1,True
Kiribati,Type F5,Plasma,ThetaBase Services,7,12,strict,10,False,False,7240,22321,32992,94,9,9,10,10,9,9,25,0.49,22321,1,United Kingdom,16,False
United Kingdom,Type V5,Plasma,ThetaBase Services,1,5,strict,3,False,False,1728,38831,25709,62,7,6,7,7,9,6,10,0.19,38831,0.65,Tanzania,8,True
Malta,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2820,45764,7851,99,10,10,10,10,9,10,14,0.51,45764,1,Guernsey,1,True
Chad,Type F5,Plasma,ThetaBase Services,3,6,flexible,3,False,False,1858,44963,1250,88,9,8,10,9,8,9,90,1.63,44963,0,Togo,1,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1455,24639,58355,95,10,10,10,10,9,10,66,1.41,24639,1,Kenya,2,True
Malta,Type Z6,Quantum,ThetaBase Services,1,2,moderate,1,False,False,2040,23795,27865,99,10,10,10,10,10,10,147,2.66,23795,1,Indonesia,1,False
Micronesia,Type V5,Plasma,ThetaBase Services,2,2,strict,2,False,False,2690,23541,47571,99,10,10,10,10,10,10,15,0.28,23541,0.89,Rwanda,1,False
Bouvet Island (Bouvetoya),Type P6,Quantum,ThetaBase Services,1,1,moderate,1,False,False,1260,23699,20156,96,10,10,10,10,9,10,213,4.21,23699,1,Lebanon,1,True
Malta,Type V5,Plasma,ThetaBase Services,2,6,moderate,2,False,False,3067,22876,31340,81,8,8,9,9,9,8,43,0.91,22876,0.9,Marshall Islands,2,True
Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,strict,1,False,False,2469,26652,35481,91,9,9,10,10,9,9,28,0.73,26652,0.97,Pakistan,6,False
Malta,Type V5,Quantum,ThetaBase Services,1,2,strict,2,False,False,2157,42132,59909,97,10,10,10,10,9,10,39,0.77,42132,1,Marshall Islands,1,False
Chad,Type F5,Quantum,ThetaBase Services,1,2,strict,1,False,False,1130,15758,48495,90,9,9,9,8,8,9,7,0.3,15758,1,Togo,1,False
Estonia,Type F5,Plasma,ThetaBase Services,2,6,strict,3,True,False,2235,30959,23613,93,10,8,9,9,8,9,20,0.38,30959,1,Zimbabwe,2,False
United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,strict,2,False,False,2820,20463,14633,100,10,10,10,10,10,10,12,0.22,20463,1,Lithuania,2,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1,3,moderate,2,False,False,1702,47081,7108,96,10,9,10,10,9,9,34,1.04,47081,1,Finland,1,True
Anguilla,Type V5,Plasma,ThetaBase Services,3,7,strict,5,True,False,2820,44835,73151,90,9,9,10,10,9,9,205,3.73,44835,1,United Kingdom,3,False
Barbados,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,4185,12821,53161,90,9,7,10,9,10,9,2,0.04,12821,1,Tonga,1,True
Barbados,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2157,6974,29263,95,10,9,10,10,10,10,33,0.6,6974,1,Barbados,1,True
United Kingdom,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2170,12471,38165,99,10,10,10,10,10,10,17,0.62,12471,0.67,Gibraltar,1,True
Rwanda,Type V5,Plasma,ThetaBase Services,1,2,strict,1,False,False,2170,19309,6551,97,10,10,10,10,9,10,56,1.02,19309,1,Maldives,3,True
Rwanda,Type F5,Quantum,ThetaBase Services,1,2,strict,1,True,False,1390,41346,29738,88,9,9,9,9,9,9,118,3.46,41346,0.97,Estonia,7,True
Nicaragua,Type V5,Plasma,"Banks, Wood and Phillips",0,2,strict,1,False,False,2105,32556,64943,80,8,9,9,9,9,8,48,1.02,32556,0.9,Estonia,11,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,False,False,1507,7493,27995,94,10,9,10,10,9,10,295,5.47,7493,1,Monaco,1,True
Malta,Type F5,Plasma,ThetaBase Services,4,7,strict,4,False,False,6005,27163,68171,93,10,9,10,10,9,9,45,1.04,27163,1,Korea,3,True
Micronesia,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,False,False,3145,20382,16570,96,10,9,10,10,10,10,26,0.49,20382,1,Svalbard & Jan Mayen Islands,4,True
Kiribati,Type F5,Plasma,ThetaBase Services,3,6,strict,4,False,False,3730,15282,12900,95,9,9,10,10,9,9,11,0.21,15282,1,Nicaragua,1,True
Barbados,Type F5,Plasma,ThetaBase Services,3,7,flexible,6,False,False,7240,18566,20740,98,9,10,10,10,10,9,15,0.29,18566,0.9,Nicaragua,2,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,3,strict,2,False,False,2027,2353,53256,99,10,10,10,10,10,9,19,0.35,2353,1,Senegal,2,True
United Kingdom,Type V5,Plasma,ThetaBase Services,0,2,strict,1,False,False,1715,7696,44267,88,9,9,10,10,9,9,123,2.27,7696,0.97,Russian Federation,7,True
United Kingdom,Type V5,Plasma,ThetaBase Services,0,2,strict,1,False,False,1585,7696,50052,86,9,9,9,10,9,9,185,3.39,7696,0.97,Russian Federation,7,True
United Kingdom,Type V5,Plasma,ThetaBase Services,0,2,strict,1,False,False,1585,7696,61914,88,9,9,9,9,9,9,183,3.35,7696,0.97,Russian Federation,7,True
United Kingdom,Type V5,Plasma,ThetaBase Services,0,2,strict,1,False,False,1585,7696,46802,86,9,9,9,9,9,9,138,2.61,7696,0.97,Russian Federation,7,True
United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,strict,1,False,False,1455,7696,18135,91,9,9,10,10,9,9,109,2,7696,0.97,Russian Federation,7,True
Barbados,Type V2,Plasma,ThetaBase Services,4,7,strict,7,False,False,8670,16685,56049,92,9,9,10,10,10,9,31,0.62,16685,1,Reunion,2,False
Malta,Type F5,Plasma,ThetaBase Services,3,6,strict,3,False,False,4120,26368,21970,92,9,9,10,9,9,9,127,2.4,26368,1,Brazil,2,False
Faroe Islands,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,False,False,1455,27407,6103,88,9,8,9,9,10,8,11,0.22,27407,0.5,Micronesia,1,False
Malta,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,True,False,1780,3989,63015,73,7,7,8,7,7,6,6,0.12,3989,1,Marshall Islands,1,True
United Kingdom,Type V5,Plasma,ThetaBase Services,1,4,strict,1,True,False,2495,8018,54557,86,9,9,10,9,9,9,15,0.8,8018,1,Monaco,1,True
